element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,gA(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Fe,2,"=""290.6632""","=""0.0005""","=""290.663417""","=""0.000015""","=""170bl(Fe II)*""","=""""",,"=""68000.785""","=""102394.764""","=""3d6.(3G).4p""","=""y 2H*""","=""9/2""","=""3d6.(5D).6s""","=""4D""","=""7/2""",,"=""""","=""L18349c143""",
Fe,2,"=""290.6632""","=""0.0005""","=""290.663891""","=""0.000019""","=""170bl(Fe II)*""","=""""",,"=""72238.564""","=""106632.487""","=""3d6.(3D).4p""","=""w 4F*""","=""5/2""","=""3d5.4s.(7S).4d""","=""6D""","=""3/2""",,"=""""","=""L18349c143""",
Fe,1,"=""290.6740""","=""0.0004""","=""290.673838""","=""0.000019""","=""1bl""","=""""",,"=""19621.006""","=""54013.752""","=""3d6.4s2""","=""a 3H""","=""5""","=""3d6.(3D).4s.4p.(3P*)""","=""5F*""","=""5""",,"=""""","=""L11631c80""",
Fe,3,"=""290.7495""","=""0.0024""","=""290.7534""","=""0.0005""","=""3600""","=""2.2e+07""",D,"=""83138.66""","=""117521.99""","=""3d5.(4F).4s""","=""5F""","=""5""","=""3d5.(4P).4p""","=""5D*""","=""4""",,"=""T6105""","=""L3495""",
Fe,1,"=""290.75172""","=""0.00003""","=""290.751736""","=""0.000019""","=""1450""","=""1.77e+08""",B,"=""21999.130""","=""56382.662""","=""3d7.(2G).4s""","=""a 3G""","=""4""","=""3d6.(1I).4s.4p.(3P*)""","=""u 3H*""","=""5""",,"=""T5720""","=""L11631""",
Fe,2,"=""290.7629""","=""0.0005""","=""290.761969""","=""0.000013""","=""600bl(Ne)""","=""""",,"=""54232.201""","=""88614.523""","=""3d5.4s2""","=""b 4G""","=""11/2""","=""3d5.(4P).4s.4p.(3P*)""","=""6D*""","=""9/2""",,"=""""","=""L18349c143""",
Fe,3,"=""290.7699""","=""0.0013""","=""290.7689""","=""0.0003""","=""6500""","=""6.e+07""",D,"=""90472.61""","=""124854.11""","=""3d5.(4F).4s""","=""3F""","=""4""","=""3d5.(4D).4p""","=""3D*""","=""3""",,"=""u45""","=""L3495""",
Fe,2,"=""""","=""""","=""290.778806""","=""0.000018""","=""""","=""1.8e-02""",E,"=""1872.5998""","=""36252.931""","=""3d7""","=""a 4F""","=""9/2""","=""3d6.(3D).4s""","=""b 2D""","=""5/2""",E2,"=""T8961""","=""""",
Fe,1,"=""290.7792""","=""0.0004""","=""290.779298""","=""0.000019""","=""(0)bl""","=""""",,"=""24338.767""","=""58719.040""","=""3d6.4s2""","=""b 3G""","=""3""","=""3d7.(4F<9/2>).4f""","=""2[5/2]*""","=""3""",,"=""""","=""L11631c81""",
Fe,2,"=""290.7853""","=""0.0015""","=""290.785618""","=""0.000006""","=""700""","=""7.8e+05""",E,"=""7955.3186""","=""42334.8444""","=""3d6.(5D).4s""","=""a 4D""","=""7/2""","=""3d6.(5D).4p""","=""z 6F*""","=""5/2""",,"=""T6892c83""","=""L7357""",
Fe,2,"=""290.8375""","=""0.0005""","=""290.837104""","=""0.000015""","=""130d?""","=""2.5e+07""",D+,"=""69650.481""","=""104023.921""","=""3d6.(3G).4p""","=""y 2F*""","=""5/2""","=""3d6.(5D).5d""","=""4F""","=""5/2""",,"=""T6892c83""","=""L18349c143""",
Fe,3,"=""290.8648""","=""0.0013""","=""290.8668""","=""0.0003""","=""550""","=""6.e+06""",D,"=""90484.18""","=""124854.11""","=""3d5.(4F).4s""","=""3F""","=""3""","=""3d5.(4D).4p""","=""3D*""","=""3""",,"=""T6105""","=""L3495""",
Fe,2,"=""290.8654""","=""0.0005""","=""290.865021""","=""0.000015""","=""110d""","=""7.e+06""",D,"=""72352.046""","=""106722.187""","=""3d6.(3D).4p""","=""w 4F*""","=""7/2""","=""3d6.(3H).4d""","=""4F""","=""9/2""",,"=""T6892c83""","=""L18349c143""",
Fe,1,"=""290.88558""","=""0.00007""","=""290.885580""","=""0.000012""","=""309""","=""8.08e+07""",C+,"=""19757.032""","=""54124.744""","=""3d6.(5D).4s.4p.(3P*)""","=""z 7D*""","=""3""","=""3d6.(5D).4s (6D).6s""","=""g 7D""","=""4""",,"=""T5720""","=""L11631""",
Fe,1,"=""290.9113""","=""0.0003""","=""290.911144""","=""0.000019""","=""0d?""","=""""",,"=""22996.674""","=""57361.366""","=""3d6.(5D).4s.4p.(3P*)""","=""z 7F*""","=""4""","=""3d6.4s.(6D).5d""","=""7G""","=""3""",,"=""""","=""L11631c80""",
Fe,1,"=""290.93145""","=""0.00018""","=""290.93151""","=""0.00003""","=""110""","=""""",,"=""19621.006""","=""53983.293""","=""3d6.4s2""","=""a 3H""","=""5""","=""3d6.(3G).4s.4p.(3P*)""","=""t 3G*""","=""5""",,"=""""","=""L11631""",
Fe,2,"=""290.9381""","=""0.0005""","=""290.93793""","=""0.00004""","=""170""","=""4.e+06""",D,"=""49506.922""","=""83868.450""","=""3d6.(3P1).4s""","=""c 4P""","=""3/2""","=""3d6.(1F).4p""","=""v 2D*""","=""5/2""",,"=""T6892c83""","=""L18349c142""",
Fe,2,"=""290.9548""","=""0.0005""","=""290.954308""","=""0.000014""","=""310""","=""5.e+06""",D,"=""45079.9019""","=""79439.496""","=""3d6.(5D).4p""","=""z 4F*""","=""5/2""","=""3d6.(5D).5s""","=""e 4D""","=""7/2""",,"=""T6892c83""","=""L18349c142""",
Fe,2,"=""290.9973""","=""0.0005""","=""290.997218""","=""0.000015""","=""700d?""","=""""",,"=""27620.4033""","=""61974.931""","=""3d6.(3F2).4s""","=""a 2F""","=""5/2""","=""3d5.(6S).4s.4p.(3P*)""","=""y 6P*""","=""3/2""",,"=""""","=""L18349c143""",
Fe,1,"=""291.0663""","=""0.0004""","=""291.066049""","=""0.000019""","=""1bl""","=""""",,"=""19788.251""","=""54134.655""","=""3d6.4s2""","=""a 3H""","=""4""","=""3d7.(4F).5p""","=""5G*""","=""3""",,"=""""","=""L11631c80""",
Fe,2,"=""291.06861""","=""0.00005""","=""291.068574""","=""0.000014""","=""3200""","=""3.0e+08""",C+,"=""63948.803""","=""98294.909""","=""3d6.(3F2).4p""","=""y 4G*""","=""9/2""","=""3d6.(3H).5s""","=""e 4H""","=""11/2""",,"=""T6892c83""","=""L18349c139""",
Fe,2,"=""291.0762""","=""0.0005""","=""291.076106""","=""0.000015""","=""700""","=""1.2e+07""",D+,"=""30764.4737""","=""65109.691""","=""3d6.(3G).4s""","=""b 2G""","=""7/2""","=""3d6.(3F2).4p""","=""y 2G*""","=""7/2""",,"=""T6892c83""","=""L18349c143""",
Fe,2,"=""291.0803""","=""0.0005""","=""291.079406""","=""0.000015""","=""120d,bl(Fe II)?*""","=""""",,"=""70523.694""","=""104868.522""","=""3d6.(3G).4p""","=""x 2G*""","=""7/2""","=""3d6.(5D).5d""","=""6G""","=""9/2""",,"=""""","=""L18349c143""",
Fe,2,"=""291.0803""","=""0.0005""","=""291.080294""","=""0.000015""","=""120d,bl(Fe II)?*""","=""""",,"=""44232.5398""","=""78577.263""","=""3d6.(5D).4p""","=""z 4F*""","=""9/2""","=""3d5.4s2""","=""2G2""","=""9/2""",,"=""""","=""L18349c143""",
Fe,1,"=""291.0928""","=""0.0003""","=""291.092577""","=""0.000019""","=""3""","=""2.15e+07""",D+,"=""22249.429""","=""56592.703""","=""3d7.(2G).4s""","=""a 3G""","=""3""","=""3d6.(1G2).4s.4p.(3P*)""","=""u 3F*""","=""4""",,"=""T5720""","=""L11631c80""",
Fe,2,"=""291.1014""","=""0.0005""","=""291.101605""","=""0.000015""","=""140""","=""1.7e+07""",D+,"=""72524.561""","=""106866.770""","=""3d6.(3D).4p""","=""w 4D*""","=""3/2""","=""3d6.(3F2).4d""","=""4F""","=""5/2""",,"=""T6892c83""","=""L18349c143""",
Fe,1,"=""291.1230""","=""0.0003""","=""291.122663""","=""0.000019""","=""0""","=""""",,"=""23110.939""","=""57450.664""","=""3d6.(5D).4s.4p.(3P*)""","=""z 7F*""","=""3""","=""3d6.4s.(6D).5d""","=""7G""","=""2""",,"=""""","=""L11631c80""",
Fe,2,"=""291.15538""","=""0.00014""","=""291.155460""","=""0.000016""","=""600""","=""1.6e+07""",D+,"=""69650.481""","=""103986.338""","=""3d6.(3G).4p""","=""y 2F*""","=""5/2""","=""3d6.(3H).4d""","=""4H""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
Fe,2,"=""291.17977""","=""0.00017""","=""291.179562""","=""0.000016""","=""600""","=""4.9e+08""",C+,"=""69650.481""","=""103983.496""","=""3d6.(3G).4p""","=""y 2F*""","=""5/2""","=""3d6.(3G).5s""","=""e 2G""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
Fe,1,"=""291.1915""","=""0.0003""","=""291.19220""","=""0.00003""","=""(1)""","=""""",,"=""24180.862""","=""58512.387""","=""3d6.(5D).4s.4p.(3P*)""","=""z 7P*""","=""3""","=""3d6.4s.(4D).4d""","=""5F""","=""2""",,"=""""","=""L11631c81""",
Fe,1,"=""291.21571""","=""0.00003""","=""291.215723""","=""0.000009""","=""12900""","=""1.83e+07""",D,"=""0.000""","=""34328.752""","=""3d6.4s2""","=""a 5D""","=""4""","=""3d7.(4F).4p""","=""y 5F*""","=""3""",,"=""T5720""","=""L11631""",
