element,sp_num,obs_wl_air(nm),ritz_wl_air(nm),unc_ritz_wl,intens,gA(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Li,2,"=""""","=""1009.102""","=""0.023""","=""""","=""1.7374e+08""",AAA,"=""[582612.15]""","=""[592519.24]""","=""1s.4d""","=""3D""","=""1""","=""1s.5f""","=""3F*""","=""2""",,"=""T8636c73""","=""""",
Li,2,"=""""","=""1009.107""","=""0.014""","=""""","=""7.021e+06""",AA,"=""[582613.20]""","=""[592520.24]""","=""1s.4d""","=""3D""","=""3""","=""1s.5f""","=""1F*""","=""3""",,"=""T8636c73""","=""""",
Li,2,"=""""","=""1009.141""","=""0.014""","=""""","=""3.2167e+07""",AAA,"=""[582612.54]""","=""[592519.24]""","=""1s.4d""","=""3D""","=""2""","=""1s.5f""","=""3F*""","=""2""",,"=""T8636c73""","=""""",
Li,2,"=""""","=""1009.141""","=""0.014""","=""""","=""2.0442e+08""",AAA,"=""[582612.54]""","=""[592519.24]""","=""1s.4d""","=""3D""","=""2""","=""1s.5f""","=""3F*""","=""3""",,"=""T8636c73""","=""""",
Li,2,"=""""","=""1009.208""","=""0.014""","=""""","=""9.1925e+05""",AAA,"=""[582613.20]""","=""[592519.24]""","=""1s.4d""","=""3D""","=""3""","=""1s.5f""","=""3F*""","=""2""",,"=""T8636c73""","=""""",
Li,2,"=""""","=""1009.208""","=""0.014""","=""""","=""2.5155e+07""",AAA,"=""[582613.20]""","=""[592519.24]""","=""1s.4d""","=""3D""","=""3""","=""1s.5f""","=""3F*""","=""3""",,"=""T8636c73""","=""""",
Li,2,"=""""","=""1009.208""","=""0.014""","=""""","=""3.7228e+08""",AAA,"=""[582613.20]""","=""[592519.24]""","=""1s.4d""","=""3D""","=""3""","=""1s.5f""","=""3F*""","=""4""",,"=""T8636c73""","=""""",
Li,2,"=""""","=""1010.829""","=""0.018""","=""""","=""2.2963e+08""",AAA,"=""[582630.08]""","=""[592520.24]""","=""1s.4d""","=""1D""","=""2""","=""1s.5f""","=""1F*""","=""3""",,"=""T8636c73""","=""""",
Li,2,"=""""","=""1010.931""","=""0.018""","=""""","=""6.455e+03""",AA,"=""[582630.08]""","=""[592519.24]""","=""1s.4d""","=""1D""","=""2""","=""1s.5f""","=""3F*""","=""2""",,"=""T8636c73""","=""""",
Li,2,"=""""","=""1010.931""","=""0.018""","=""""","=""6.002e+07""",AA,"=""[582630.08]""","=""[592519.24]""","=""1s.4d""","=""1D""","=""2""","=""1s.5f""","=""3F*""","=""3""",,"=""T8636c73""","=""""",
Li,2,"=""1012.0""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L1614""",
Li,2,"=""""","=""1012.744""","=""0.019""","=""""","=""1.162e+06""",AA,"=""[582642.10]""","=""[592513.56]""","=""1s.4f""","=""3F*""","=""3""","=""1s.5d""","=""1D""","=""2""",,"=""T8636c73""","=""""",
Li,2,"=""""","=""1012.854""","=""0.019""","=""""","=""2.9251e+06""",AAA,"=""[582643.17]""","=""[592513.56]""","=""1s.4f""","=""1F*""","=""3""","=""1s.5d""","=""1D""","=""2""",,"=""T8636c73""","=""""",
Li,2,"=""""","=""1013.738""","=""0.015""","=""""","=""1.3192e+04""",AAA,"=""[582642.10]""","=""[592503.88]""","=""1s.4f""","=""3F*""","=""2""","=""1s.5d""","=""3D""","=""3""",,"=""T8636c73""","=""""",
Li,2,"=""""","=""1013.738""","=""0.015""","=""""","=""3.2532e+05""",AAA,"=""[582642.10]""","=""[592503.88]""","=""1s.4f""","=""3F*""","=""3""","=""1s.5d""","=""3D""","=""3""",,"=""T8636c73""","=""""",
Li,2,"=""""","=""1013.738""","=""0.015""","=""""","=""5.3430e+06""",AAA,"=""[582642.10]""","=""[592503.88]""","=""1s.4f""","=""3F*""","=""4""","=""1s.5d""","=""3D""","=""3""",,"=""T8636c73""","=""""",
