element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
C,2,"=""638.572""","=""0.004""","=""638.572""","=""0.004""","=""5h""","=""4.35e+06""",C+,"=""214829.74""","=""230485.36""","=""2s.2p.(3P*).4p""","=""4D""","=""7/2""","=""2s.2p.(3P*).5d""","=""4F*""","=""9/2""",,"=""T10528""","=""L1176""",
C,1,"=""638.9871""","=""0.0014""","=""638.9867""","=""0.0007""","=""5200""","=""""",,"=""70743.97227""","=""86389.425""","=""2s2.2p.3p""","=""3S""","=""1""","=""2s2.2p.5d""","=""3D*""","=""2""",,"=""""","=""L17684""",
C,2,"=""""","=""""","=""639.30""","=""0.12""","=""m(Fe II)""","=""9.7e+05""",C,"=""214795.28""","=""230433""","=""2s.2p.(3P*).4p""","=""4D""","=""5/2""","=""2s.2p.(3P*).5d""","=""4F*""","=""5/2""",,"=""T10528""","=""L21568""",
C,1,"=""639.7979""","=""0.0014""","=""639.7965""","=""0.0007""","=""11000""","=""5.e+05""",D,"=""70743.97227""","=""86369.622""","=""2s2.2p.3p""","=""3S""","=""1""","=""2s2.2p.6s""","=""3P*""","=""2""",,"=""T5520LS""","=""L17684""",
C,4,"=""""","=""""","=""640.450""","=""""","=""""","=""4.70e+06""",B,"=""482706.0""","=""[498315.7]""","=""1s2.7s""","=""2S""","=""1/2""","=""1s2.9p""","=""2P*""","=""3/2""",,"=""T3225LS""","=""""",
C,4,"=""""","=""""","=""640.495""","=""""","=""""","=""4.70e+06""",B,"=""482706.0""","=""[498314.6]""","=""1s2.7s""","=""2S""","=""1/2""","=""1s2.9p""","=""2P*""","=""1/2""",,"=""T3225LS""","=""""",
C,1,"=""641.3553""","=""0.0014""","=""641.3551""","=""0.0005""","=""6400""","=""5.e+05""",D,"=""70743.97227""","=""86331.651""","=""2s2.2p.3p""","=""3S""","=""1""","=""2s2.2p.6s""","=""3P*""","=""1""",,"=""T5520LS""","=""L17684""",
C,1,"=""641.7544""","=""0.0014""","=""641.7536""","=""0.0008""","=""3300""","=""5.e+05""",D,"=""70743.97227""","=""86321.97""","=""2s2.2p.3p""","=""3S""","=""1""","=""2s2.2p.6s""","=""3P*""","=""0""",,"=""T5520LS""","=""L17684""",
C,1,"=""642.924""","=""0.016""","=""642.9243""","=""0.0021""","=""2000w,bl(Fe)""","=""""",,"=""73975.92785""","=""89525.56""","=""2s2.2p.3p""","=""1S""","=""0""","=""2s2.2p.(2P*<3/2>).9d""","=""2[3/2]*""","=""1""",,"=""""","=""L2138""",
C,2,"=""645.477""","=""0.004""","=""645.572""","=""0.006""","=""5Hqs*""","=""""",,"=""168978.24""","=""[184464.11]""","=""2s2.4f""","=""2F*""","=""5/2""","=""2s2.6h""","=""2H*""","=""11/2""",UT,"=""""","=""L1176""",
C,2,"=""645.477""","=""0.004""","=""645.572""","=""0.006""","=""5Hqs*""","=""""",,"=""168978.24""","=""[184464.11]""","=""2s2.4f""","=""2F*""","=""5/2""","=""2s2.6h""","=""2H*""","=""9/2""",UT,"=""""","=""L1176""",
C,2,"=""645.477""","=""0.004""","=""645.579""","=""0.006""","=""5Hqs*""","=""""",,"=""168978.42""","=""[184464.11]""","=""2s2.4f""","=""2F*""","=""7/2""","=""2s2.6h""","=""2H*""","=""11/2""",UT,"=""""","=""L1176""",
C,2,"=""645.477""","=""0.004""","=""645.579""","=""0.006""","=""5Hqs*""","=""""",,"=""168978.42""","=""[184464.11]""","=""2s2.4f""","=""2F*""","=""7/2""","=""2s2.6h""","=""2H*""","=""9/2""",UT,"=""""","=""L1176""",
