element,sp_num,obs_wl_air(nm),ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
O,3,"=""379.126""","=""379.1275""","=""""","=""110""","=""2.24e+07""",C+,"=""267634.00""","=""294002.86""","=""2s2.2p.(2P*).3s""","=""3P*""","=""2""","=""2s2.2p.(2P*).3p""","=""3D""","=""2""",,"=""u24""","=""L3467""",
O,2,"=""379.4361""","=""379.4359""","=""""","=""14""","=""6.86e+06""",C,"=""214169.920""","=""240517.35""","=""2s2.2p2.(3P).3p""","=""2P*""","=""1/2""","=""2s2.2p2.(3P).4s""","=""2P""","=""3/2""",,"=""T5723LS""","=""L10621""",
O,2,"=""380.2032""","=""380.2025""","=""""","=""4""","=""""",,"=""240330.01""","=""266624.32""","=""2s2.2p2.(3P).4s""","=""2P""","=""1/2""","=""2s2.2p2.(1D).4p""","=""2D*""","=""3/2""",,"=""""","=""L10621""",
O,2,"=""380.2985""","=""380.2984""","=""""","=""19""","=""3.41e+07""",C,"=""214229.671""","=""240517.35""","=""2s2.2p2.(3P).3p""","=""2P*""","=""3/2""","=""2s2.2p2.(3P).4s""","=""2P""","=""3/2""",,"=""T5723LS""","=""L10621""",
O,3,"=""""","=""381.0985""","=""""","=""""","=""2.37e+06""",C+,"=""267634.00""","=""293866.49""","=""2s2.2p.(2P*).3s""","=""3P*""","=""2""","=""2s2.2p.(2P*).3p""","=""3D""","=""1""",,"=""u24""","=""""",
O,6,"=""""","=""381.135""","=""""","=""""","=""5.14e+07""",A,"=""640039.8""","=""666269.8""","=""1s2.3s""","=""2S""","=""1/2""","=""1s2.3p""","=""2P*""","=""3/2""",,"=""T5118LS""","=""""",
O,2,"=""381.3706""","=""381.37301""","=""""","=""6""","=""3.74e+04""",C,"=""185499.124""","=""211712.732""","=""2s2.2p2.(3P).3s""","=""4P""","=""5/2""","=""2s2.2p2.(3P).3p""","=""2D*""","=""5/2""",,"=""T6172""","=""L10621""",
O,4,"=""""","=""381.498""","=""""","=""""","=""9.68e+06""",B,"=""573901""","=""600106""","=""2s.2p.(3P*).4s""","=""2P*""","=""3/2""","=""2p2.(1D).3s""","=""2D""","=""5/2""",,"=""T5109LS""","=""""",
O,3,"=""""","=""381.6751""","=""""","=""""","=""9.63e+06""",C,"=""306586.08""","=""332778.94""","=""2s2.2p.(2P*).3p""","=""1D""","=""2""","=""2s2.2p.(2P*).3d""","=""1P*""","=""1""",,"=""T5376,T5791""","=""""",
O,4,"=""""","=""381.702""","=""""","=""""","=""1.61e+06""",B,"=""573901""","=""600092""","=""2s.2p.(3P*).4s""","=""2P*""","=""3/2""","=""2p2.(1D).3s""","=""2D""","=""3/2""",,"=""T5109LS""","=""""",
O,2,"=""382.1538""","=""382.1532""","=""""","=""15""","=""2.69e+07""",C,"=""214169.920""","=""240330.01""","=""2s2.2p2.(3P).3p""","=""2P*""","=""1/2""","=""2s2.2p2.(3P).4s""","=""2P""","=""1/2""",,"=""T5723LS""","=""L10621""",
O,1,"=""""","=""382.25769""","=""""","=""""","=""1.17e+05""",C,"=""101135.407""","=""127288.349""","=""2s2.2p3.(2D*).3s""","=""3D*""","=""3""","=""2s2.2p3.(2P*).3p""","=""3D""","=""2""",,"=""T5713LS""","=""""",
O,1,"=""382.341""","=""382.34136""","=""""","=""120""","=""6.63e+05""",C+,"=""101135.407""","=""127282.626""","=""2s2.2p3.(2D*).3s""","=""3D*""","=""3""","=""2s2.2p3.(2P*).3p""","=""3D""","=""3""",,"=""T5713LS""","=""L3760""",
