element,sp_num,obs_wl_air(nm),ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
O,2,"=""428.7734""","=""428.7727""","=""""","=""5""","=""1.15e+06""",D,"=""232527.09""","=""255842.91""","=""2s2.2p2.(1D).3p""","=""2P*""","=""3/2""","=""2s2.2p2.(3P).4d""","=""2D""","=""3/2""",,"=""T5723LS""","=""L10621""",
O,2,"=""428.8820""","=""428.8820""","=""""","=""13*""","=""""",,"=""232602.492""","=""255912.37""","=""2s2.2p2.(3P).3d""","=""4P""","=""1/2""","=""2s2.2p2.(3P).4f D""","=""2[1]*""","=""1/2""",,"=""""","=""L6915""",
O,2,"=""428.8820""","=""428.8829""","=""""","=""13*""","=""""",,"=""232602.492""","=""255912.32""","=""2s2.2p2.(3P).3d""","=""4P""","=""1/2""","=""2s2.2p2.(3P).4f D""","=""2[1]*""","=""3/2""",,"=""""","=""L6915""",
O,2,"=""429.1254""","=""429.12535""","=""""","=""14""","=""""",,"=""232462.724""","=""255759.384""","=""2s2.2p2.(3P).3d""","=""4P""","=""5/2""","=""2s2.2p2.(3P).4f G""","=""2[3]*""","=""7/2""",,"=""""","=""L6915""",
O,2,"=""429.1857""","=""429.18528""","=""""","=""7""","=""""",,"=""232462.724""","=""255756.131""","=""2s2.2p2.(3P).3d""","=""4P""","=""5/2""","=""2s2.2p2.(3P).4f G""","=""2[3]*""","=""5/2""",,"=""""","=""L10621""",
O,2,"=""429.2211""","=""429.22138""","=""""","=""13""","=""""",,"=""232796.298""","=""256087.746""","=""2s2.2p2.(3P).3d""","=""2F""","=""5/2""","=""2s2.2p2.(3P).4f F""","=""2[2]*""","=""5/2""",,"=""""","=""L6915""",
O,2,"=""429.2954""","=""429.2977""","=""""","=""2""","=""""",,"=""232796.298""","=""256083.604""","=""2s2.2p2.(3P).3d""","=""2F""","=""5/2""","=""2s2.2p2.(3P).4f F""","=""2[2]*""","=""3/2""",,"=""""","=""L10621""",
O,4,"=""""","=""429.488""","=""""","=""""","=""2.27e+05""",C+,"=""570797""","=""594074""","=""2s.2p.(1P*).3d""","=""2F*""","=""7/2""","=""2s.2p.(3P*).4f""","=""2F""","=""7/2""",,"=""T5109LS""","=""""",
O,4,"=""""","=""429.377""","=""""","=""""","=""8.39e+03""",D,"=""570791""","=""594074""","=""2s.2p.(1P*).3d""","=""2F*""","=""5/2""","=""2s.2p.(3P*).4f""","=""2F""","=""7/2""",,"=""T5109LS""","=""""",
O,2,"=""429.4781""","=""429.47815""","=""""","=""15""","=""""",,"=""232535.949""","=""255813.472""","=""2s2.2p2.(3P).3d""","=""4P""","=""3/2""","=""2s2.2p2.(3P).4f D""","=""2[2]*""","=""5/2""",,"=""""","=""L6915""",
O,2,"=""""","=""429.49188""","=""""","=""""","=""""",,"=""232535.949""","=""255812.728""","=""2s2.2p2.(3P).3d""","=""4P""","=""3/2""","=""2s2.2p2.(3P).4f D""","=""2[2]*""","=""3/2""",,"=""""","=""L11267""",
O,2,"=""430.2858""","=""430.2853""","=""""","=""9*""","=""""",,"=""252608.28""","=""275842.14""","=""2s2.2p2.(1D).3d""","=""2G""","=""9/2""","=""2s2.2p2.(1D).4f G""","=""2[4]*""","=""9/2""",,"=""""","=""L10621""",
O,2,"=""430.2858""","=""430.2853""","=""""","=""9*""","=""""",,"=""252608.28""","=""275842.14""","=""2s2.2p2.(1D).3d""","=""2G""","=""9/2""","=""2s2.2p2.(1D).4f G""","=""2[4]*""","=""7/2""",,"=""""","=""L10621""",
O,2,"=""430.3070""","=""430.3071""","=""""","=""8""","=""""",,"=""252609.46""","=""275842.14""","=""2s2.2p2.(1D).3d""","=""2G""","=""7/2""","=""2s2.2p2.(1D).4f G""","=""2[4]*""","=""7/2""",,"=""""","=""L10621""",
O,2,"=""430.3609""","=""430.36107""","=""""","=""11""","=""""",,"=""232753.816""","=""255983.584""","=""2s2.2p2.(3P).3d""","=""4D""","=""7/2""","=""2s2.2p2.(3P).4f G""","=""2[5]*""","=""9/2""",,"=""""","=""L6915""",
O,2,"=""430.3825""","=""430.38231""","=""""","=""15""","=""""",,"=""232462.724""","=""255691.346""","=""2s2.2p2.(3P).3d""","=""4P""","=""5/2""","=""2s2.2p2.(3P).4f D""","=""2[3]*""","=""7/2""",,"=""""","=""L6915""",
O,4,"=""""","=""430.394""","=""""","=""""","=""2.22e+05""",C+,"=""570791""","=""594019""","=""2s.2p.(1P*).3d""","=""2F*""","=""5/2""","=""2s.2p.(3P*).4f""","=""2F""","=""5/2""",,"=""T5109LS""","=""""",
O,4,"=""""","=""430.505""","=""""","=""""","=""1.11e+04""",D,"=""570797""","=""594019""","=""2s.2p.(1P*).3d""","=""2F*""","=""7/2""","=""2s.2p.(3P*).4f""","=""2F""","=""5/2""",,"=""T5109LS""","=""""",
O,2,"=""""","=""430.40838""","=""""","=""""","=""""",,"=""232462.724""","=""255689.939""","=""2s2.2p2.(3P).3d""","=""4P""","=""5/2""","=""2s2.2p2.(3P).4f D""","=""2[3]*""","=""5/2""",,"=""""","=""L11267""",
O,2,"=""430.5390""","=""430.53874""","=""""","=""10""","=""""",,"=""232535.949""","=""255756.131""","=""2s2.2p2.(3P).3d""","=""4P""","=""3/2""","=""2s2.2p2.(3P).4f G""","=""2[3]*""","=""5/2""",,"=""""","=""L10621""",
O,2,"=""430.5965""","=""430.5965""","=""""","=""4*""","=""""",,"=""253046.74""","=""276263.81""","=""2s2.2p2.(1D).3d""","=""2D""","=""3/2""","=""2s2.2p2.(1D).4f P""","=""2[1]*""","=""3/2""",,"=""""","=""L10621""",
O,2,"=""430.5965""","=""430.5965""","=""""","=""4*""","=""""",,"=""253046.74""","=""276263.81""","=""2s2.2p2.(1D).3d""","=""2D""","=""3/2""","=""2s2.2p2.(1D).4f P""","=""2[1]*""","=""1/2""",,"=""""","=""L10621""",
O,2,"=""430.6354""","=""430.6350""","=""""","=""5""","=""""",,"=""253048.82""","=""276263.81""","=""2s2.2p2.(1D).3d""","=""2D""","=""5/2""","=""2s2.2p2.(1D).4f P""","=""2[1]*""","=""3/2""",,"=""""","=""L10621""",
O,2,"=""430.7233""","=""430.72324""","=""""","=""12""","=""""",,"=""232602.492""","=""255812.728""","=""2s2.2p2.(3P).3d""","=""4P""","=""1/2""","=""2s2.2p2.(3P).4f D""","=""2[2]*""","=""3/2""",,"=""""","=""L6915""",
O,2,"=""430.8999""","=""430.8998""","=""""","=""11*""","=""""",,"=""232711.642""","=""255912.37""","=""2s2.2p2.(3P).3d""","=""4D""","=""1/2""","=""2s2.2p2.(3P).4f D""","=""2[1]*""","=""1/2""",,"=""""","=""L10621""",
O,2,"=""430.8999""","=""430.9007""","=""""","=""11*""","=""""",,"=""232711.642""","=""255912.32""","=""2s2.2p2.(3P).3d""","=""4D""","=""1/2""","=""2s2.2p2.(3P).4f D""","=""2[1]*""","=""3/2""",,"=""""","=""L10621""",
O,2,"=""431.2107""","=""431.2111""","=""""","=""11""","=""""",,"=""232959.210""","=""256143.187""","=""2s2.2p2.(3P).3d""","=""2F""","=""7/2""","=""2s2.2p2.(3P).4f F""","=""2[4]*""","=""7/2""",,"=""""","=""L10621""",
O,2,"=""431.3442""","=""431.34415""","=""""","=""12""","=""""",,"=""232959.210""","=""256136.036""","=""2s2.2p2.(3P).3d""","=""2F""","=""7/2""","=""2s2.2p2.(3P).4f F""","=""2[4]*""","=""9/2""",,"=""""","=""L10621""",
O,2,"=""431.5393""","=""431.5385""","=""""","=""8*""","=""""",,"=""232745.981""","=""255912.37""","=""2s2.2p2.(3P).3d""","=""4D""","=""3/2""","=""2s2.2p2.(3P).4f D""","=""2[1]*""","=""1/2""",,"=""""","=""L10621""",
O,2,"=""431.5393""","=""431.5394""","=""""","=""8*""","=""""",,"=""232745.981""","=""255912.32""","=""2s2.2p2.(3P).3d""","=""4D""","=""3/2""","=""2s2.2p2.(3P).4f D""","=""2[1]*""","=""3/2""",,"=""""","=""L10621""",
O,2,"=""431.5828""","=""431.58260""","=""""","=""7""","=""""",,"=""232959.210""","=""256123.231""","=""2s2.2p2.(3P).3d""","=""2F""","=""7/2""","=""2s2.2p2.(3P).4f F""","=""2[3]*""","=""7/2""",,"=""""","=""L10621""",
O,2,"=""431.7138""","=""431.7139""","=""""","=""19""","=""3.68e+07""",B,"=""185235.281""","=""208392.258""","=""2s2.2p2.(3P).3s""","=""4P""","=""1/2""","=""2s2.2p2.(3P).3p""","=""4P*""","=""3/2""",,"=""T6172,T6632""","=""L10621,L3448""",
O,2,"=""431.7700""","=""431.76958""","=""""","=""11""","=""""",,"=""232535.949""","=""255689.939""","=""2s2.2p2.(3P).3d""","=""4P""","=""3/2""","=""2s2.2p2.(3P).4f D""","=""2[3]*""","=""5/2""",,"=""""","=""L10621""",
O,2,"=""431.9629""","=""431.9630""","=""""","=""19""","=""2.48e+07""",B,"=""185340.577""","=""208484.202""","=""2s2.2p2.(3P).3s""","=""4P""","=""3/2""","=""2s2.2p2.(3P).3p""","=""4P*""","=""5/2""",,"=""T6172,T6632""","=""L10621,L3448""",
O,2,"=""""","=""431.9866""","=""""","=""""","=""5.62e+07""",D,"=""232480.44""","=""255622.80""","=""2s2.2p2.(1D).3p""","=""2P*""","=""1/2""","=""2s2.2p2.(1D).3d""","=""2S""","=""1/2""",,"=""T5723LS""","=""L11267""",
O,2,"=""432.2445""","=""432.24477""","=""""","=""5""","=""""",,"=""232959.210""","=""256087.746""","=""2s2.2p2.(3P).3d""","=""2F""","=""7/2""","=""2s2.2p2.(3P).4f F""","=""2[2]*""","=""5/2""",,"=""""","=""L10621""",
O,2,"=""432.4790""","=""432.4788""","=""""","=""6""","=""""",,"=""232796.298""","=""255912.32""","=""2s2.2p2.(3P).3d""","=""2F""","=""5/2""","=""2s2.2p2.(3P).4f D""","=""2[1]*""","=""3/2""",,"=""""","=""L10621""",
O,2,"=""432.5758""","=""432.5761""","=""""","=""15""","=""1.42e+07""",B,"=""185235.281""","=""208346.104""","=""2s2.2p2.(3P).3s""","=""4P""","=""1/2""","=""2s2.2p2.(3P).3p""","=""4P*""","=""1/2""",,"=""T6172,T6632""","=""L10621""",
O,4,"=""""","=""432.738""","=""""","=""""","=""3.75e+05""",C+,"=""573696""","=""596798.2""","=""2s.2p.(3P*).4s""","=""2P*""","=""1/2""","=""2s.2p.(3P*).4f""","=""2D""","=""3/2""",,"=""T5109LS""","=""""",
O,2,"=""432.7465""","=""432.7460""","=""""","=""12""","=""6.76e+07""",D,"=""229947.07""","=""253048.82""","=""2s2.2p2.(1D).3p""","=""2D*""","=""5/2""","=""2s2.2p2.(1D).3d""","=""2D""","=""5/2""",,"=""T5723LS""","=""L10621""",
O,2,"=""432.7851""","=""432.7849""","=""""","=""6""","=""7.24e+06""",D,"=""229947.07""","=""253046.74""","=""2s2.2p2.(1D).3p""","=""2D*""","=""5/2""","=""2s2.2p2.(1D).3d""","=""2D""","=""3/2""",,"=""T5723LS""","=""L10621""",
O,2,"=""432.8586""","=""432.8591""","=""""","=""11""","=""1.12e+08""",D,"=""232527.09""","=""255622.80""","=""2s2.2p2.(1D).3p""","=""2P*""","=""3/2""","=""2s2.2p2.(1D).3d""","=""2S""","=""1/2""",,"=""T5723LS""","=""L10621""",
O,2,"=""""","=""433.1159""","=""""","=""""","=""""",,"=""232747.562""","=""255829.58""","=""2s2.2p2.(3P).3d""","=""4D""","=""5/2""","=""2s2.2p2.(3P).4f G""","=""2[4]*""","=""7/2""",,"=""""","=""L11267""",
O,2,"=""433.1176""","=""433.1176""","=""""","=""12""","=""""",,"=""252993.39""","=""276075.32""","=""2s2.2p2.(1S).3p""","=""2P*""","=""3/2""","=""2s2.2p2.(1S).3d""","=""2D""","=""5/2""",,"=""""","=""L10621""",
O,2,"=""433.1468""","=""433.1466""","=""""","=""6""","=""4.82e+06""",D,"=""229968.44""","=""253048.82""","=""2s2.2p2.(1D).3p""","=""2D*""","=""3/2""","=""2s2.2p2.(1D).3d""","=""2D""","=""5/2""",,"=""T5723LS""","=""L10621""",
O,2,"=""433.1862""","=""433.1857""","=""""","=""11""","=""6.50e+07""",D,"=""229968.44""","=""253046.74""","=""2s2.2p2.(1D).3p""","=""2D*""","=""3/2""","=""2s2.2p2.(1D).3d""","=""2D""","=""3/2""",,"=""T5723LS""","=""L10621""",
O,2,"=""""","=""433.2333""","=""""","=""""","=""""",,"=""232753.816""","=""255829.58""","=""2s2.2p2.(3P).3d""","=""4D""","=""7/2""","=""2s2.2p2.(3P).4f G""","=""2[4]*""","=""7/2""",,"=""""","=""L11267""",
O,2,"=""433.2707""","=""433.2694""","=""""","=""11""","=""""",,"=""232753.816""","=""255827.657""","=""2s2.2p2.(3P).3d""","=""4D""","=""7/2""","=""2s2.2p2.(3P).4f G""","=""2[4]*""","=""9/2""",,"=""""","=""L10621""",
O,3,"=""""","=""433.3579""","=""""","=""""","=""1.21e+05""",C,"=""327229.25""","=""350298.38""","=""2s2.2p.(2P*).3d""","=""3D*""","=""1""","=""2s.2p2.(4P).3s""","=""3P""","=""2""",,"=""T5376LS""","=""""",
O,2,"=""433.4029""","=""433.4026""","=""""","=""6""","=""""",,"=""232745.981""","=""255812.728""","=""2s2.2p2.(3P).3d""","=""4D""","=""3/2""","=""2s2.2p2.(3P).4f D""","=""2[2]*""","=""3/2""",,"=""""","=""L10621""",
O,2,"=""433.4186""","=""433.4184""","=""""","=""9""","=""""",,"=""232747.562""","=""255813.472""","=""2s2.2p2.(3P).3d""","=""4D""","=""5/2""","=""2s2.2p2.(3P).4f D""","=""2[2]*""","=""5/2""",,"=""""","=""L10621""",
O,2,"=""""","=""433.4324""","=""""","=""""","=""""",,"=""232747.562""","=""255812.728""","=""2s2.2p2.(3P).3d""","=""4D""","=""5/2""","=""2s2.2p2.(3P).4f D""","=""2[2]*""","=""3/2""",,"=""""","=""L11267""",
O,2,"=""433.5362""","=""433.5359""","=""""","=""6""","=""""",,"=""232753.816""","=""255813.472""","=""2s2.2p2.(3P).3d""","=""4D""","=""7/2""","=""2s2.2p2.(3P).4f D""","=""2[2]*""","=""5/2""",,"=""""","=""L10621""",
O,2,"=""433.6862""","=""433.6859""","=""""","=""17""","=""1.53e+07""",B,"=""185340.577""","=""208392.258""","=""2s2.2p2.(3P).3s""","=""4P""","=""3/2""","=""2s2.2p2.(3P).3p""","=""4P*""","=""3/2""",,"=""T6172,T6632""","=""L10621,L3448""",
O,2,"=""434.0328""","=""434.0323""","=""""","=""12""","=""""",,"=""232796.298""","=""255829.58""","=""2s2.2p2.(3P).3d""","=""2F""","=""5/2""","=""2s2.2p2.(3P).4f G""","=""2[4]*""","=""7/2""",,"=""""","=""L10621""",
O,2,"=""434.2004""","=""434.2003""","=""""","=""15""","=""""",,"=""232959.210""","=""255983.584""","=""2s2.2p2.(3P).3d""","=""2F""","=""7/2""","=""2s2.2p2.(3P).4f G""","=""2[5]*""","=""9/2""",,"=""""","=""L10621""",
O,2,"=""434.2813""","=""434.2801""","=""""","=""6*""","=""""",,"=""253046.74""","=""276066.88""","=""2s2.2p2.(1D).3d""","=""2D""","=""3/2""","=""2s2.2p2.(1D).4f D""","=""2[2]*""","=""5/2""",,"=""""","=""L10621""",
O,3,"=""""","=""434.2813""","=""""","=""""","=""1.81e+06""",C+,"=""327278.30""","=""350298.38""","=""2s2.2p.(2P*).3d""","=""3D*""","=""2""","=""2s.2p2.(4P).3s""","=""3P""","=""2""",,"=""T5376LS""","=""""",
O,2,"=""434.2813""","=""434.2815""","=""""","=""6*""","=""""",,"=""253046.74""","=""276066.81""","=""2s2.2p2.(1D).3d""","=""2D""","=""3/2""","=""2s2.2p2.(1D).4f D""","=""2[2]*""","=""3/2""",,"=""""","=""L10621""",
O,2,"=""434.3202""","=""434.3194""","=""""","=""7w*""","=""""",,"=""253048.82""","=""276066.88""","=""2s2.2p2.(1D).3d""","=""2D""","=""5/2""","=""2s2.2p2.(1D).4f D""","=""2[2]*""","=""5/2""",,"=""""","=""L10621""",
O,2,"=""434.3202""","=""434.3207""","=""""","=""7w*""","=""""",,"=""253048.82""","=""276066.81""","=""2s2.2p2.(1D).3d""","=""2D""","=""5/2""","=""2s2.2p2.(1D).4f D""","=""2[2]*""","=""3/2""",,"=""""","=""L10621""",
O,2,"=""434.4375""","=""434.4371""","=""""","=""12""","=""""",,"=""232747.562""","=""255759.384""","=""2s2.2p2.(3P).3d""","=""4D""","=""5/2""","=""2s2.2p2.(3P).4f G""","=""2[3]*""","=""7/2""",,"=""""","=""L10621""",
O,2,"=""434.4958""","=""434.4985""","=""""","=""6""","=""""",,"=""232747.562""","=""255756.131""","=""2s2.2p2.(3P).3d""","=""4D""","=""5/2""","=""2s2.2p2.(3P).4f G""","=""2[3]*""","=""5/2""",,"=""""","=""L10621""",
O,2,"=""""","=""434.5552""","=""""","=""""","=""""",,"=""232753.816""","=""255759.384""","=""2s2.2p2.(3P).3d""","=""4D""","=""7/2""","=""2s2.2p2.(3P).4f G""","=""2[3]*""","=""7/2""",,"=""""","=""L11267""",
O,2,"=""434.5560""","=""434.5560""","=""""","=""19""","=""7.95e+07""",B,"=""185340.577""","=""208346.104""","=""2s2.2p2.(3P).3s""","=""4P""","=""3/2""","=""2s2.2p2.(3P).3p""","=""4P*""","=""1/2""",,"=""T6172,T6632""","=""L10621,L3448""",
O,2,"=""434.6159""","=""434.6167""","=""""","=""5""","=""""",,"=""232753.816""","=""255756.131""","=""2s2.2p2.(3P).3d""","=""4D""","=""7/2""","=""2s2.2p2.(3P).4f G""","=""2[3]*""","=""5/2""",,"=""""","=""L10621""",
O,2,"=""434.7223""","=""434.7217""","=""""","=""10*""","=""1.19e+07""",B+,"=""206971.68""","=""229968.44""","=""2s2.2p2.(1D).3s""","=""2D""","=""5/2""","=""2s2.2p2.(1D).3p""","=""2D*""","=""3/2""",,"=""T6172n""","=""L10621""",
O,2,"=""434.7223""","=""434.7224""","=""""","=""10*""","=""""",,"=""252987.23""","=""275983.95""","=""2s2.2p2.(1S).3p""","=""2P*""","=""1/2""","=""2s2.2p2.(1S).3d""","=""2D""","=""3/2""",,"=""""","=""L10621""",
O,2,"=""434.7420""","=""434.7413""","=""""","=""19""","=""9.32e+07""",B+,"=""206972.72""","=""229968.44""","=""2s2.2p2.(1D).3s""","=""2D""","=""3/2""","=""2s2.2p2.(1D).3p""","=""2D*""","=""3/2""",,"=""T6172n""","=""L10621,L3448""",
O,2,"=""434.9426""","=""434.9426""","=""""","=""23""","=""6.75e+07""",B,"=""185499.124""","=""208484.202""","=""2s2.2p2.(3P).3s""","=""4P""","=""5/2""","=""2s2.2p2.(3P).3p""","=""4P*""","=""5/2""",,"=""T6172,T6632""","=""L10621,L3448""",
O,2,"=""435.1262""","=""435.1260""","=""""","=""21""","=""9.89e+07""",B+,"=""206971.68""","=""229947.07""","=""2s2.2p2.(1D).3s""","=""2D""","=""5/2""","=""2s2.2p2.(1D).3p""","=""2D*""","=""5/2""",,"=""T6172n""","=""L10621,L3448""",
O,2,"=""""","=""435.1457""","=""""","=""""","=""5.82e+06""",B,"=""206972.72""","=""229947.07""","=""2s2.2p2.(1D).3s""","=""2D""","=""3/2""","=""2s2.2p2.(1D).3p""","=""2D*""","=""5/2""",,"=""T6172n""","=""L11267""",
O,2,"=""435.3594""","=""435.3592""","=""""","=""12""","=""""",,"=""232796.298""","=""255759.384""","=""2s2.2p2.(3P).3d""","=""2F""","=""5/2""","=""2s2.2p2.(3P).4f G""","=""2[3]*""","=""7/2""",,"=""""","=""L10621""",
O,2,"=""435.4178""","=""435.4208""","=""""","=""4""","=""""",,"=""232796.298""","=""255756.131""","=""2s2.2p2.(3P).3d""","=""2F""","=""5/2""","=""2s2.2p2.(3P).4f G""","=""2[3]*""","=""5/2""",,"=""""","=""L10621""",
O,2,"=""""","=""435.4589""","=""""","=""""","=""2.19e+04""",C,"=""208392.258""","=""231350.087""","=""2s2.2p2.(3P).3p""","=""4P*""","=""3/2""","=""2s2.2p2.(3P).3d""","=""4F""","=""5/2""",,"=""T6172""","=""""",
O,3,"=""""","=""435.6794""","=""""","=""""","=""1.00e+07""",C+,"=""327352.17""","=""350298.38""","=""2s2.2p.(2P*).3d""","=""3D*""","=""3""","=""2s.2p2.(4P).3s""","=""3P""","=""2""",,"=""T5376LS""","=""""",
O,2,"=""435.7252""","=""435.7221""","=""""","=""10*""","=""""",,"=""232745.981""","=""255689.939""","=""2s2.2p2.(3P).3d""","=""4D""","=""3/2""","=""2s2.2p2.(3P).4f D""","=""2[3]*""","=""5/2""",,"=""""","=""L10621""",
O,2,"=""435.7252""","=""435.7254""","=""""","=""10*""","=""""",,"=""232747.562""","=""255691.346""","=""2s2.2p2.(3P).3d""","=""4D""","=""5/2""","=""2s2.2p2.(3P).4f D""","=""2[3]*""","=""7/2""",,"=""""","=""L10621""",
O,2,"=""435.7252""","=""435.7257""","=""""","=""10*""","=""2.72e+04""",C,"=""208484.202""","=""231427.970""","=""2s2.2p2.(3P).3p""","=""4P*""","=""5/2""","=""2s2.2p2.(3P).3d""","=""4F""","=""7/2""",,"=""T6172""","=""L10621""",
O,2,"=""""","=""435.7522""","=""""","=""""","=""""",,"=""232747.562""","=""255689.939""","=""2s2.2p2.(3P).3d""","=""4D""","=""5/2""","=""2s2.2p2.(3P).4f D""","=""2[3]*""","=""5/2""",,"=""""","=""L11267""",
O,2,"=""435.8451""","=""435.8442""","=""""","=""7""","=""""",,"=""232753.816""","=""255691.346""","=""2s2.2p2.(3P).3d""","=""4D""","=""7/2""","=""2s2.2p2.(3P).4f D""","=""2[3]*""","=""7/2""",,"=""""","=""L10621""",
O,2,"=""435.9392""","=""435.9395""","=""""","=""7""","=""1.44e+06""",C+,"=""211522.117""","=""234454.634""","=""2s2.2p2.(3P).3p""","=""2D*""","=""3/2""","=""2s2.2p2.(3P).3d""","=""2D""","=""5/2""",,"=""T6172n""","=""L10621""",
O,3,"=""""","=""436.3209""","=""""","=""""","=""1.71e+00""",B,"=""20273.27""","=""43185.74""","=""2s2.2p2""","=""1D""","=""2""","=""2s2.2p2""","=""1S""","=""0""",E2,"=""T4010,T4899,T4026""","=""""",
O,4,"=""""","=""436.612""","=""""","=""""","=""7.31e+04""",C,"=""573901""","=""596798.2""","=""2s.2p.(3P*).4s""","=""2P*""","=""3/2""","=""2s.2p.(3P*).4f""","=""2D""","=""3/2""",,"=""T5109LS""","=""""",
O,3,"=""""","=""436.6501""","=""""","=""""","=""2.96e+06""",C+,"=""327229.25""","=""350124.45""","=""2s2.2p.(2P*).3d""","=""3D*""","=""1""","=""2s.2p2.(4P).3s""","=""3P""","=""1""",,"=""T5376LS""","=""""",
O,2,"=""436.6530""","=""436.6530""","=""""","=""9""","=""""",,"=""232796.298""","=""255691.346""","=""2s2.2p2.(3P).3d""","=""2F""","=""5/2""","=""2s2.2p2.(3P).4f D""","=""2[3]*""","=""7/2""",,"=""""","=""L10621""",
O,2,"=""436.6892""","=""436.6895""","=""""","=""20""","=""3.92e+07""",B,"=""185499.124""","=""208392.258""","=""2s2.2p2.(3P).3s""","=""4P""","=""5/2""","=""2s2.2p2.(3P).3p""","=""4P*""","=""3/2""",,"=""T6172,T6632""","=""L10621,L3448""",
O,1,"=""""","=""436.8193""","=""""","=""""","=""7.56e+05""",B,"=""76794.978""","=""99681.309""","=""2s2.2p3.(4S*).3s""","=""3S*""","=""1""","=""2s2.2p3.(4S*).4p""","=""3P""","=""0""",,"=""T5803n,LS""","=""""",
O,1,"=""""","=""436.8242""","=""""","=""""","=""7.59e+05""",B,"=""76794.978""","=""99681.049""","=""2s2.2p3.(4S*).3s""","=""3S*""","=""1""","=""2s2.2p3.(4S*).4p""","=""3P""","=""2""",,"=""T5803n,LS""","=""""",
O,1,"=""436.825""","=""436.8258""","=""""","=""100""","=""7.58e+05""",B,"=""76794.978""","=""99680.968""","=""2s2.2p3.(4S*).3s""","=""3S*""","=""1""","=""2s2.2p3.(4S*).4p""","=""3P""","=""1""",,"=""T5803n,LS""","=""L3760""",
O,2,"=""436.9275""","=""436.9272""","=""""","=""13""","=""3.57e+07""",B,"=""211522.117""","=""234402.797""","=""2s2.2p2.(3P).3p""","=""2D*""","=""3/2""","=""2s2.2p2.(3P).3d""","=""2D""","=""3/2""",,"=""T6172n""","=""L10621""",
O,2,"=""437.1618""","=""437.1609""","=""""","=""11""","=""""",,"=""232959.210""","=""255827.657""","=""2s2.2p2.(3P).3d""","=""2F""","=""7/2""","=""2s2.2p2.(3P).4f G""","=""2[4]*""","=""9/2""",,"=""""","=""L10621""",
O,2,"=""437.4295""","=""437.4322""","=""""","=""9""","=""""",,"=""232959.210""","=""255813.472""","=""2s2.2p2.(3P).3d""","=""2F""","=""7/2""","=""2s2.2p2.(3P).4f D""","=""2[2]*""","=""5/2""",,"=""""","=""L10621""",
O,3,"=""""","=""437.5876""","=""""","=""""","=""8.83e+06""",C+,"=""327278.30""","=""350124.45""","=""2s2.2p.(2P*).3d""","=""3D*""","=""2""","=""2s.2p2.(4P).3s""","=""3P""","=""1""",,"=""T5376LS""","=""""",
O,2,"=""437.8027""","=""437.8029""","=""""","=""8""","=""""",,"=""253046.74""","=""275881.65""","=""2s2.2p2.(1D).3d""","=""2D""","=""3/2""","=""2s2.2p2.(1D).4f F""","=""2[3]*""","=""5/2""",,"=""""","=""L10621""",
O,2,"=""437.8427""","=""437.8428""","=""""","=""9*""","=""""",,"=""253048.82""","=""275881.65""","=""2s2.2p2.(1D).3d""","=""2D""","=""5/2""","=""2s2.2p2.(1D).4f F""","=""2[3]*""","=""7/2""",,"=""""","=""L10621""",
O,2,"=""437.8427""","=""437.8428""","=""""","=""9*""","=""""",,"=""253048.82""","=""275881.65""","=""2s2.2p2.(1D).3d""","=""2D""","=""5/2""","=""2s2.2p2.(1D).4f F""","=""2[3]*""","=""5/2""",,"=""""","=""L10621""",
O,2,"=""""","=""438.4446""","=""""","=""""","=""2.29e+06""",D,"=""232480.44""","=""255281.93""","=""2s2.2p2.(1D).3p""","=""2P*""","=""1/2""","=""2s2.2p2.(3P).4d""","=""2P""","=""1/2""",,"=""T5723LS""","=""""",
O,2,"=""""","=""438.4700""","=""""","=""""","=""""",,"=""232959.210""","=""255759.384""","=""2s2.2p2.(3P).3d""","=""2F""","=""7/2""","=""2s2.2p2.(3P).4f G""","=""2[3]*""","=""7/2""",,"=""""","=""L11267""",
O,2,"=""""","=""438.5325""","=""""","=""""","=""""",,"=""232959.210""","=""255756.131""","=""2s2.2p2.(3P).3d""","=""2F""","=""7/2""","=""2s2.2p2.(3P).4f G""","=""2[3]*""","=""5/2""",,"=""""","=""L11267""",
O,3,"=""""","=""438.5649""","=""""","=""""","=""1.17e+07""",C+,"=""327229.25""","=""350024.49""","=""2s2.2p.(2P*).3d""","=""3D*""","=""1""","=""2s.2p2.(4P).3s""","=""3P""","=""0""",,"=""T5376LS""","=""""",
O,4,"=""""","=""439.296""","=""""","=""""","=""4.30e+05""",C+,"=""573901""","=""596658.3""","=""2s.2p.(3P*).4s""","=""2P*""","=""3/2""","=""2s.2p.(3P*).4f""","=""2D""","=""5/2""",,"=""T5109LS""","=""""",
O,2,"=""""","=""439.3435""","=""""","=""""","=""1.14e+06""",E,"=""232527.09""","=""255281.93""","=""2s2.2p2.(1D).3p""","=""2P*""","=""3/2""","=""2s2.2p2.(3P).4d""","=""2P""","=""1/2""",,"=""T5723LS""","=""""",
O,2,"=""439.5942""","=""439.5935""","=""""","=""15""","=""3.91e+07""",B,"=""211712.732""","=""234454.634""","=""2s2.2p2.(3P).3p""","=""2D*""","=""5/2""","=""2s2.2p2.(3P).3d""","=""2D""","=""5/2""",,"=""T6172n""","=""L10621""",
