element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,gA(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
W,1,"=""770.101""","=""""","=""770.098""","=""0.004""","=""40""","=""""",,"=""19256.24""","=""32238.02""","=""5d5.(4G).6s""","=""5G""","=""4""","=""""","=""*""","=""3""",,"=""""","=""L153""",
W,1,"=""770.154""","=""""","=""770.155""","=""0.004""","=""1""","=""""",,"=""32135.94""","=""45116.77""","=""5d5.(4G).6s""","=""3G""","=""4""","=""""","=""*""","=""4""",,"=""""","=""L153""",
W,1,"=""770.263""","=""""","=""770.264""","=""0.004""","=""2w""","=""""",,"=""33952.85""","=""46931.84""","=""5d5.(4D).6s""","=""3D""","=""3""","=""""","=""*""","=""4""",,"=""""","=""L153,L416""",
W,1,"=""770.400""","=""""","=""770.400""","=""0.004""","=""1w""","=""""",,"=""34465.83""","=""47442.53""","=""""","=""""","=""3""","=""""","=""*""","=""2""",,"=""""","=""L153,L416""",
W,1,"=""770.558""","=""""","=""770.555""","=""0.004""","=""6""","=""""",,"=""23930.08""","=""36904.16""","=""5d5.(4D).6s""","=""5D""","=""3""","=""""","=""*""","=""2""",,"=""""","=""L153""",
W,1,"=""770.680""","=""""","=""770.679""","=""0.004""","=""5w""","=""""",,"=""39030.25""","=""52002.25""","=""""","=""*""","=""2""","=""""","=""""","=""3""",,"=""""","=""L153""",
W,1,"=""771.108""","=""""","=""771.113""","=""0.004""","=""1""","=""""",,"=""28233.44""","=""41198.14""","=""5d5.(4F).6s""","=""5F""","=""5""","=""""","=""*""","=""4""",,"=""""","=""L153c23""",
W,1,"=""772.149""","=""""","=""""","=""""","=""2w""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
W,1,"=""772.206""","=""""","=""""","=""""","=""12""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
W,1,"=""772.334""","=""""","=""772.329""","=""0.004""","=""12""","=""""",,"=""23930.08""","=""36874.36""","=""5d5.(4D).6s""","=""5D""","=""3""","=""""","=""*""","=""3""",,"=""""","=""L153""",
W,1,"=""772.681""","=""""","=""""","=""""","=""4""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
W,1,"=""772.707""","=""""","=""772.704""","=""0.004""","=""20""","=""""",,"=""28233.44""","=""41171.44""","=""5d5.(4F).6s""","=""5F""","=""5""","=""""","=""*""","=""6""",,"=""""","=""L153""",
W,1,"=""772.936""","=""""","=""""","=""""","=""2""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
W,1,"=""773.206""","=""""","=""773.205""","=""0.004""","=""4""","=""""",,"=""38355.84""","=""51285.46""","=""""","=""*""","=""1""","=""""","=""""","=""0""",,"=""""","=""L153""",
W,1,"=""773.629""","=""""","=""773.621""","=""0.004""","=""8""","=""""",,"=""13307.10""","=""26229.77""","=""5d4.6s2""","=""3P2""","=""1""","=""5d5.(6S).6p""","=""7P*""","=""2""",,"=""""","=""L153""",
W,1,"=""774.608""","=""""","=""774.605""","=""0.004""","=""20""","=""""",,"=""28291.88""","=""41198.14""","=""5d5.(2F1).6s""","=""3F""","=""3""","=""""","=""*""","=""4""",,"=""""","=""L153""",
W,1,"=""774.707""","=""""","=""774.705""","=""0.004""","=""3""","=""""",,"=""33201.61""","=""46106.20""","=""5d5.(2G2).6s""","=""3G""","=""5""","=""""","=""*""","=""6""",,"=""""","=""L153,L416""",
W,1,"=""774.965""","=""""","=""774.961""","=""0.004""","=""6""","=""""",,"=""28204.20""","=""41104.52""","=""5d5.(4F).6s""","=""5F""","=""2""","=""""","=""*""","=""2""",,"=""""","=""L153""",
W,1,"=""775.492""","=""""","=""775.488""","=""0.004""","=""6""","=""""",,"=""23982.80""","=""36874.36""","=""5d5.(4D).6s""","=""5D""","=""2""","=""""","=""*""","=""3""",,"=""""","=""L153""",
W,1,"=""775.858""","=""""","=""775.855""","=""0.004""","=""20""","=""""",,"=""17701.18""","=""30586.64""","=""5d4.6s2""","=""3F2""","=""3""","=""5d4.6s.(6D).6p""","=""5P*""","=""3""",,"=""""","=""L153""",
W,1,"=""776.116""","=""""","=""776.111""","=""0.004""","=""40""","=""""",,"=""13348.56""","=""26229.77""","=""5d4.6s2""","=""3G""","=""3""","=""5d5.(6S).6p""","=""7P*""","=""2""",,"=""""","=""L153""",
