element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
N,2,"=""871.054""","=""""","=""""","=""""","=""160w""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3513""",
N,1,"=""871.170""","=""""","=""871.1703""","=""""","=""570""","=""1.29e+07""",B+,"=""83317.830""","=""94793.490""","=""2s2.2p2.(3P).3s""","=""4P""","=""3/2""","=""2s2.2p2.(3P).3p""","=""4D*""","=""3/2""",,"=""T7370""","=""L3513""",
N,1,"=""871.883""","=""""","=""871.8837""","=""""","=""500""","=""6.54e+06""",B+,"=""83364.620""","=""94830.890""","=""2s2.2p2.(3P).3s""","=""4P""","=""5/2""","=""2s2.2p2.(3P).3p""","=""4D*""","=""5/2""",,"=""T7370""","=""L3513""",
N,1,"=""872.889""","=""""","=""872.8901""","=""""","=""250""","=""3.75e+06""",B+,"=""83317.830""","=""94770.880""","=""2s2.2p2.(3P).3s""","=""4P""","=""3/2""","=""2s2.2p2.(3P).3p""","=""4D*""","=""1/2""",,"=""T7370""","=""L3513""",
N,1,"=""874.736""","=""""","=""874.7369""","=""""","=""200""","=""9.65e+05""",B+,"=""83364.620""","=""94793.490""","=""2s2.2p2.(3P).3s""","=""4P""","=""5/2""","=""2s2.2p2.(3P).3p""","=""4D*""","=""3/2""",,"=""T7370""","=""L3513""",
N,1,"=""""","=""""","=""875.821""","=""""","=""""","=""2.62e+04""",C,"=""93581.550""","=""104996.27""","=""2s2.2p2.(3P).3p""","=""2S*""","=""1/2""","=""2s2.2p2.(3P).3d""","=""4D""","=""3/2""",,"=""T7370""","=""""",
N,1,"=""""","=""""","=""876.735""","=""""","=""""","=""1.22e+05""",C,"=""93581.550""","=""104984.37""","=""2s2.2p2.(3P).3p""","=""2S*""","=""1/2""","=""2s2.2p2.(3P).3d""","=""4D""","=""1/2""",,"=""T7370""","=""""",
N,2,"=""""","=""""","=""883.175""","=""""","=""""","=""8.42e+05""",C+,"=""211749.35""","=""223069.02""","=""2s.2p2.(4P).3s""","=""3P""","=""0""","=""2s.2p2.(4P).3p""","=""3S*""","=""1""",,"=""T5520LS""","=""""",
N,1,"=""""","=""""","=""884.357""","=""""","=""""","=""7.5e+04""",C,"=""93581.550""","=""104886.10""","=""2s2.2p2.(3P).3p""","=""2S*""","=""1/2""","=""2s2.2p2.(3P).3d""","=""4P""","=""1/2""",,"=""T7370""","=""""",
N,2,"=""""","=""""","=""885.530""","=""""","=""""","=""2.51e+06""",C+,"=""211779.45""","=""223069.02""","=""2s.2p2.(4P).3s""","=""3P""","=""1""","=""2s.2p2.(4P).3p""","=""3S*""","=""1""",,"=""T5520LS""","=""""",
N,1,"=""""","=""""","=""886.424""","=""""","=""""","=""9.8e+04""",C,"=""93581.550""","=""104859.73""","=""2s2.2p2.(3P).3p""","=""2S*""","=""1/2""","=""2s2.2p2.(3P).3d""","=""4P""","=""3/2""",,"=""T7370""","=""""",
N,2,"=""""","=""""","=""889.329""","=""""","=""""","=""4.12e+06""",C+,"=""211827.67""","=""223069.02""","=""2s.2p2.(4P).3s""","=""3P""","=""2""","=""2s.2p2.(4P).3p""","=""3S*""","=""1""",,"=""T5520LS""","=""""",
N,2,"=""""","=""""","=""893.003""","=""""","=""""","=""4.83e+06""",C+,"=""203189.03""","=""214384.13""","=""2s2.2p.4p""","=""3P""","=""1""","=""2s2.2p.5s""","=""3P*""","=""2""",,"=""T5520LS""","=""""",
N,2,"=""""","=""""","=""898.618""","=""""","=""""","=""1.42e+07""",C+,"=""203258.98""","=""214384.13""","=""2s2.2p.4p""","=""3P""","=""2""","=""2s2.2p.5s""","=""3P*""","=""2""",,"=""T5520LS""","=""""",
N,3,"=""""","=""""","=""900.321""","=""""","=""""","=""3.28e+06""",B,"=""327058.0""","=""338162.1""","=""2s.2p.(3P*).3p""","=""2S""","=""1/2""","=""2s2.5p""","=""2P*""","=""3/2""",,"=""T7192LS""","=""""",
N,3,"=""""","=""""","=""900.986""","=""""","=""""","=""3.28e+06""",B,"=""327058.0""","=""338153.9""","=""2s.2p.(3P*).3p""","=""2S""","=""1/2""","=""2s2.5p""","=""2P*""","=""1/2""",,"=""T7192LS""","=""""",
N,2,"=""""","=""""","=""901.042""","=""""","=""""","=""6.27e+06""",C+,"=""203162.48""","=""214257.69""","=""2s2.2p.4p""","=""3P""","=""0""","=""2s2.2p.5s""","=""3P*""","=""1""",,"=""T5520LS""","=""""",
N,1,"=""""","=""""","=""902.0693""","=""""","=""""","=""3.68e+05""",C,"=""93581.550""","=""104664.130""","=""2s2.2p2.(3P).3p""","=""2S*""","=""1/2""","=""2s2.2p2.(3P).3d""","=""4F""","=""3/2""",,"=""T7370""","=""""",
N,1,"=""""","=""""","=""902.8922""","=""""","=""""","=""3.20e+07""",C,"=""93581.550""","=""104654.030""","=""2s2.2p2.(3P).3p""","=""2S*""","=""1/2""","=""2s2.2p2.(3P).3d""","=""2P""","=""1/2""",,"=""T7370""","=""""",
N,2,"=""""","=""""","=""903.204""","=""""","=""""","=""4.67e+06""",C+,"=""203189.03""","=""214257.69""","=""2s2.2p.4p""","=""3P""","=""1""","=""2s2.2p.5s""","=""3P*""","=""1""",,"=""T5520LS""","=""""",
N,1,"=""""","=""""","=""904.5878""","=""""","=""""","=""2.80e+07""",B,"=""99663.427""","=""110715.152""","=""2s2.2p2.(1D).3s""","=""2D""","=""5/2""","=""2s2.2p2.(1D).3p""","=""2F*""","=""7/2""",,"=""T5714n""","=""""",
N,1,"=""""","=""""","=""904.9492""","=""""","=""""","=""1.88e+06""",B,"=""99663.427""","=""110710.739""","=""2s2.2p2.(1D).3s""","=""2D""","=""5/2""","=""2s2.2p2.(1D).3p""","=""2F*""","=""5/2""",,"=""T5714n""","=""""",
